,ticker,initialCapital,endCapital,delta
0,A.V,1000,500.1949999406934,-499.8050000593066
1,AAB.TO,1000,935.279999977909,-64.72000002209097
2,AAC-P.V,1000,999.2800000011921,-0.7199999988079071
3,AAD-P.V,1000,999.8624999970198,-0.13750000298023224
4,AAG.V,1000,962.4249997213483,-37.575000278651714
5,AALI.V,1000,985.5849999096245,-14.415000090375543
6,AAN.V,1000,854.7724999859929,-145.2275000140071
7,AAPL.NE,1000,853.6000003814697,-146.39999961853027
8,AAT.V,1000,984.2000425956212,-15.799957404378802
9,AAU.V,1000,930.1700000502169,-69.82999994978309
10,AAV.TO,1000,739.6900011301041,-260.30999886989594
11,AAWH-U.CN,1000,986.6949998140335,-13.305000185966492
12,AAZ.V,1000,980.085032062605,-19.914967937394977
13,AB-H.V,1000,585.0124990642071,-414.9875009357929
14,ABCT.TO,1000,914.610000371933,-85.38999962806702
15,ABI.V,1000,969.4449999993667,-30.5550000006333
16,ABN.V,1000,0.004995517432691603,-999.9950044825673
17,ABR.V,1000,956.9364256504923,-43.06357434950769
18,ABRA.V,1000,64.83150992402807,-935.1684900759719
19,ABST.TO,1000,380.764999255538,-619.235000744462
20,ABX.TO,1000,6.459990501403809,-993.5400094985962
21,ABXX.NE,1000,967.190000295639,-32.80999970436096
22,ABZ.V,1000,988.3391665760428,-11.660833423957229
23,AC.TO,1000,387.75500151515007,-612.2449984848499
24,ACB-WSU.TO,1000,1000,0
25,ACB.TO,1000,565.0799903869629,-434.9200096130371
26,ACCB-P.V,1000,1000,0
27,ACD.TO,1000,1.3950018882751465,-998.6049981117249
28,ACME.CN,1000,1000,0
29,ACO-X.TO,1000,27.08249831199646,-972.9175016880035
30,ACO-Y.TO,1000,12.162502765655518,-987.8374972343445
31,ACOG.V,1000,989.4549999535084,-10.545000046491623
32,ACOP.V,1000,999.4449999928474,-0.5550000071525574
33,ACP.V,1000,990.5525001492351,-9.44749985076487
34,ACQ.TO,1000,150.30000376701355,-849.6999962329865
35,ACR-H.V,1000,0.5116302967071533,-999.4883697032928
36,ACRG-AU.CN,1000,1000,0
37,ACRG-BU.CN,1000,1000,0
38,ACST.V,1000,1.1350004076957845,-998.8649995923042
39,ACT.CN,1000,992.6499998755753,-7.350000124424696
40,ACU.V,1000,982.0149999894202,-17.985000010579824
41,AD-DBA.TO,1000,1000,0
42,AD-UN.TO,1000,97.00499534606934,-902.9950046539307
43,ADCO.TO,1000,993.6950001269579,-6.304999873042107
44,ADD.V,1000,0.03999140113592109,-999.9600085988641
45,ADE.V,1000,990.0400000941008,-9.959999905899167
46,ADG.V,1000,988.8100000089034,-11.189999991096556
47,ADK.V,1000,536.4450019076467,-463.55499809235334
48,ADMT.CN,1000,997.7949999719858,-2.205000028014183
49,ADN.TO,1000,1.7100024223327672,-998.2899975776672
50,ADW-A.TO,1000,120.68389666080475,-879.3161033391953
51,ADW-B.TO,1000,224.6855571269989,-775.3144428730011
52,ADX.CN,1000,442.6750001311302,-557.3249998688698
53,ADY.V,1000,999.2375000081956,-0.7624999918043613
54,ADZ.V,1000,994.8725000154227,-5.127499984577298
55,ADZN.V,1000,972.3150001168251,-27.684999883174896
56,AE.V,1000,998.5949999969453,-1.405000003054738
57,AEC.V,1000,952.5800003129989,-47.41999968700111
58,AEG.TO,1000,617.4550000578165,-382.5449999421835
59,AEM.TO,1000,6.785015106201172,-993.2149848937988
60,AEP.V,1000,707.0800000950694,-292.9199999049306
61,AEZS.TO,1000,38.875,-961.125
62,AFCC-H.V,1000,618.4600015580654,-381.5399984419346
63,AFE.V,1000,980.2500000558794,-19.749999944120646
64,AFI.CN,1000,770.9249988235533,-229.07500117644668
65,AFM.V,1000,830.6799999922514,-169.3200000077486
66,AFN-DBI.TO,1000,1000,0
67,AFN.TO,1000,7.885005950927734,-992.1149940490723
68,AG-UN.CN,1000,680.6789986388758,-319.3210013611242
69,AGD.V,1000,987.5149999782443,-12.485000021755695
70,AGF-B.TO,1000,36.50749945640564,-963.4925005435944
71,AGH-H.V,1000,995.3324999986216,-4.667500001378357
72,AGI.TO,1000,41.779999136924744,-958.2200008630753
73,AGL.V,1000,0.07499998807907116,-999.9250000119209
74,AGLD.V,1000,994.4238429255784,-5.576157074421644
75,AGMR.V,1000,999.4425000101328,-0.5574999898672104
76,AGN.CN,1000,281.6100001335144,-718.3899998664856
77,AGO.V,1000,980.9000001549721,-19.099999845027924
78,AGR-UN.TO,1000,893.0600006580353,-106.93999934196472
79,AGRA.CN,1000,517.6340729892254,-482.3659270107746
80,AGRI-RTU.TO,1000,1000,0
81,AGRI-U.TO,1000,1000,0
82,AGRI-WTU.TO,1000,1000,0
83,AGX.V,1000,503.3150008022785,-496.6849991977215
84,AH.TO,1000,993.132500141859,-6.867499858140945
85,AHR.V,1000,952.9300000723451,-47.06999992765486
86,AI-DBF.TO,1000,1000,0
87,AI-DBG.TO,1000,1000,0
88,AI.TO,1000,389.83999824523926,-610.1600017547607
89,AIF.TO,1000,19.165002703666687,-980.8349972963333
90,AII.TO,1000,952.169999666512,-47.83000033348799
91,AIM-PA.TO,1000,1.2899990081787145,-998.7100009918213
92,AIM-PC.TO,1000,410.9999985694885,-589.0000014305115
93,AIM.TO,1000,146.18999975919724,-853.8100002408028
94,AIML.CN,1000,939.2299997135997,-60.77000028640032
95,AION.CN,1000,998.3250000001863,-1.6749999998137355
96,AIP-U.V,1000,1000,0
97,AIR.V,1000,995.6149999722838,-4.38500002771616
98,AIS.V,1000,989.8950000461191,-10.104999953880906
99,AIV-P.V,1000,999.8299999982119,-0.17000000178813934
